FIPS,clusters
1001,cluster_0
1003,cluster_0
1005,cluster_1
1007,cluster_3
1009,cluster_0
1011,cluster_1
1013,cluster_3
1015,cluster_0
1017,cluster_3
1019,cluster_0
1021,cluster_0
1023,cluster_3
1025,cluster_3
1027,cluster_3
1029,cluster_0
1031,cluster_0
1033,cluster_3
1035,cluster_3
1037,cluster_3
1039,cluster_0
1041,cluster_3
1043,cluster_0
1045,cluster_3
1047,cluster_1
1049,cluster_0
1051,cluster_0
1053,cluster_3
1055,cluster_0
1057,cluster_0
1059,cluster_0
1061,cluster_0
1063,cluster_1
1065,cluster_3
1067,cluster_3
1069,cluster_0
1071,cluster_0
1073,cluster_0
1075,cluster_0
1077,cluster_0
1079,cluster_3
1081,cluster_0
1083,cluster_0
1085,cluster_1
1087,cluster_1
1089,cluster_0
1091,cluster_1
1093,cluster_3
1095,cluster_0
1097,cluster_3
1099,cluster_3
1101,cluster_0
1103,cluster_0
1105,cluster_1
1107,cluster_3
1109,cluster_0
1111,cluster_0
1113,cluster_0
1115,cluster_0
1117,cluster_0
1119,cluster_1
1121,cluster_3
1123,cluster_3
1125,cluster_0
1127,cluster_0
1129,cluster_3
1131,cluster_1
1133,cluster_0
2013,cluster_0
2016,cluster_0
2020,cluster_0
2050,cluster_0
2060,cluster_0
2068,cluster_0
2070,cluster_0
2090,cluster_0
2100,cluster_0
2110,cluster_0
2122,cluster_0
2130,cluster_0
2150,cluster_0
2164,cluster_0
2170,cluster_0
2180,cluster_0
2185,cluster_0
2188,cluster_0
2220,cluster_0
2240,cluster_0
2261,cluster_0
2282,cluster_0
2290,cluster_0
4001,cluster_2
4003,cluster_0
4005,cluster_0
4007,cluster_0
4009,cluster_0
4011,cluster_0
4012,cluster_0
4013,cluster_0
4015,cluster_0
4017,cluster_0
4019,cluster_0
4021,cluster_0
4023,cluster_0
4025,cluster_0
4027,cluster_0
5001,cluster_0
5003,cluster_3
5005,cluster_0
5007,cluster_0
5009,cluster_0
5011,cluster_0
5013,cluster_0
5015,cluster_0
5017,cluster_1
5019,cluster_0
5021,cluster_0
5023,cluster_0
5025,cluster_0
5027,cluster_0
5029,cluster_3
5031,cluster_0
5033,cluster_0
5035,cluster_3
5037,cluster_0
5039,cluster_3
5041,cluster_3
5043,cluster_0
5045,cluster_0
5047,cluster_3
5049,cluster_0
5051,cluster_0
5053,cluster_0
5055,cluster_0
5057,cluster_0
5059,cluster_0
5061,cluster_0
5063,cluster_0
5065,cluster_0
5067,cluster_0
5069,cluster_3
5071,cluster_0
5073,cluster_3
5075,cluster_0
5077,cluster_0
5079,cluster_0
5081,cluster_0
5083,cluster_3
5085,cluster_0
5087,cluster_0
5089,cluster_0
5091,cluster_0
5093,cluster_3
5095,cluster_3
5097,cluster_0
5099,cluster_3
5101,cluster_0
5103,cluster_0
5105,cluster_0
5107,cluster_1
5109,cluster_0
5111,cluster_3
5113,cluster_3
5115,cluster_0
5117,cluster_3
5119,cluster_0
5121,cluster_0
5123,cluster_3
5125,cluster_0
5127,cluster_0
5129,cluster_0
5131,cluster_0
5133,cluster_0
5135,cluster_3
5137,cluster_0
5139,cluster_0
5141,cluster_0
5143,cluster_0
5145,cluster_0
5147,cluster_3
5149,cluster_0
6001,cluster_0
6003,cluster_0
6005,cluster_0
6007,cluster_0
6009,cluster_0
6011,cluster_0
6013,cluster_0
6015,cluster_0
6017,cluster_0
6019,cluster_0
6021,cluster_0
6023,cluster_0
6025,cluster_0
6027,cluster_0
6029,cluster_0
6031,cluster_0
6033,cluster_0
6035,cluster_0
6037,cluster_0
6039,cluster_0
6041,cluster_0
6043,cluster_0
6045,cluster_0
6047,cluster_0
6049,cluster_0
6051,cluster_0
6053,cluster_0
6055,cluster_0
6057,cluster_0
6059,cluster_0
6061,cluster_0
6063,cluster_0
6065,cluster_0
6067,cluster_0
6069,cluster_0
6071,cluster_0
6073,cluster_0
6075,cluster_0
6077,cluster_0
6079,cluster_0
6081,cluster_0
6083,cluster_0
6085,cluster_0
6087,cluster_0
6089,cluster_0
6091,cluster_0
6093,cluster_0
6095,cluster_0
6097,cluster_0
6099,cluster_0
6101,cluster_0
6103,cluster_0
6105,cluster_0
6107,cluster_0
6109,cluster_0
6111,cluster_0
6113,cluster_0
6115,cluster_0
8001,cluster_0
8003,cluster_0
8005,cluster_0
8007,cluster_0
8009,cluster_0
8011,cluster_0
8013,cluster_0
8015,cluster_0
8017,cluster_0
8019,cluster_0
8021,cluster_0
8023,cluster_0
8025,cluster_0
8027,cluster_0
8029,cluster_0
8031,cluster_0
8033,cluster_0
8035,cluster_0
8037,cluster_0
8039,cluster_0
8041,cluster_0
8043,cluster_0
8045,cluster_0
8047,cluster_0
8049,cluster_0
8051,cluster_0
8053,cluster_0
8055,cluster_0
8057,cluster_0
8059,cluster_0
8061,cluster_0
8063,cluster_0
8065,cluster_0
8067,cluster_0
8069,cluster_0
8071,cluster_0
8073,cluster_0
8075,cluster_0
8077,cluster_0
8079,cluster_0
8081,cluster_0
8083,cluster_0
8085,cluster_0
8087,cluster_0
8089,cluster_0
8091,cluster_0
8093,cluster_0
8095,cluster_0
8097,cluster_0
8099,cluster_0
8101,cluster_0
8103,cluster_0
8105,cluster_0
8107,cluster_0
8109,cluster_0
8111,cluster_0
8113,cluster_0
8115,cluster_0
8117,cluster_0
8119,cluster_0
8121,cluster_0
8123,cluster_0
8125,cluster_0
9001,cluster_0
9003,cluster_0
9005,cluster_0
9007,cluster_0
9009,cluster_0
9011,cluster_0
9013,cluster_0
9015,cluster_0
10001,cluster_0
10003,cluster_0
10005,cluster_0
11001,cluster_0
12001,cluster_0
12003,cluster_0
12005,cluster_0
12007,cluster_3
12009,cluster_0
12011,cluster_0
12013,cluster_3
12015,cluster_0
12017,cluster_0
12019,cluster_0
12021,cluster_0
12023,cluster_0
12027,cluster_3
12029,cluster_0
12031,cluster_0
12033,cluster_0
12035,cluster_0
12037,cluster_0
12039,cluster_3
12041,cluster_0
12043,cluster_0
12045,cluster_0
12047,cluster_0
12049,cluster_0
12051,cluster_3
12053,cluster_0
12055,cluster_0
12057,cluster_0
12059,cluster_0
12061,cluster_0
12063,cluster_0
12065,cluster_0
12067,cluster_0
12069,cluster_0
12071,cluster_0
12073,cluster_0
12075,cluster_0
12077,cluster_0
12079,cluster_0
12081,cluster_0
12083,cluster_0
12085,cluster_0
12086,cluster_0
12087,cluster_0
12089,cluster_0
12091,cluster_0
12093,cluster_0
12095,cluster_0
12097,cluster_0
