FIPS,prevalence of diabetes,prevalence of obesity,prevalence of physical inactivity
1001,13.0,34.1,28.399999999999995
1003,10.4,27.4,24.233333333333334
1005,18.4,44.4,32.33333333333333
1007,14.8,40.3,33.43333333333334
1009,14.1,34.6,28.766666666666666
1011,19.6,43.0,32.53333333333334
1013,17.7,36.3,35.36666666666667
1015,14.9,32.2,32.7
1017,16.4,39.7,33.9
1019,13.3,33.6,31.433333333333334
1021,13.3,35.9,31.399999999999995
1023,18.1,40.8,32.86666666666667
1025,16.3,38.2,29.566666666666666
1027,14.6,37.3,35.16666666666667
1029,12.6,30.0,32.46666666666667
1031,15.9,33.7,29.266666666666666
1033,18.7,37.5,31.0
1035,17.4,36.4,33.5
1037,17.3,39.7,31.066666666666666
1039,14.7,34.0,35.333333333333336
1041,16.5,39.7,31.233333333333334
1043,14.4,33.4,28.3
1045,14.1,36.5,28.399999999999995
1047,19.0,40.8,32.7
1049,13.4,30.4,30.73333333333333
1051,13.4,35.4,29.733333333333334
1053,17.8,37.7,34.23333333333333
1055,16.8,35.1,32.666666666666664
1057,15.1,33.7,30.833333333333332
1059,13.9,33.2,34.23333333333333
1061,13.9,34.1,30.099999999999998
1063,21.0,46.3,32.56666666666667
1065,16.0,40.4,34.03333333333334
1067,18.7,35.8,29.03333333333333
1069,13.7,32.8,29.0
1071,14.9,32.0,31.933333333333337
1073,13.0,33.2,27.400000000000002
1075,14.9,33.6,33.8
1077,14.2,32.9,29.133333333333336
1079,15.6,35.5,35.63333333333333
1081,9.5,29.0,23.399999999999995
1083,12.6,32.9,31.066666666666666
1085,23.5,45.1,30.933333333333337
1087,18.4,44.7,31.166666666666668
1089,11.5,32.3,23.96666666666667
1091,20.2,40.3,33.766666666666666
1093,18.7,35.5,34.2
1095,12.8,33.2,30.766666666666666
1097,15.6,37.1,28.833333333333332
1099,17.8,35.3,32.766666666666666
1101,13.5,34.8,27.53333333333333
1103,12.6,31.6,29.3
1105,21.7,43.0,33.233333333333334
1107,16.4,36.4,31.766666666666666
1109,13.5,38.4,27.766666666666666
1111,14.9,30.9,30.900000000000002
1113,12.9,36.4,31.46666666666667
1115,12.8,33.0,28.166666666666668
1117,8.7,30.1,22.73333333333333
1119,20.1,40.3,31.03333333333333
1121,15.3,39.0,34.800000000000004
1123,13.7,36.9,31.53333333333333
1125,12.3,34.3,27.433333333333334
1127,16.7,33.2,33.36666666666667
1129,17.8,40.2,32.13333333333333
1131,19.3,44.9,32.63333333333333
1133,13.2,30.2,31.96666666666667
2013,7.6,33.4,28.166666666666668
2016,6.2,39.4,23.03333333333333
2020,7.0,27.0,17.566666666666666
2050,5.8,30.3,27.400000000000002
2060,8.5,39.7,21.8
2068,5.8,27.0,16.7
