FIPS,PCH_LACCESS_POP_10_15,PCH_LACCESS_LOWI_10_15,PCH_LACCESS_SENIORS_10_15,PCH_GROC_09_14,PCH_CONVS_09_14,PCH_CONVSPTH_09_14,PCH_SNAPS_12_16,PCH_SNAPSPTH_12_16,PCH_WICS_08_12,PCH_WICSPTH_08_12,PCH_FFR_09_14,PCH_FFRPTH_09_14,PCH_FSR_09_14,PCH_CACFP_09_15,CH_FOODINSEC_12_15,CH_VLFOODSEC_12_15,State,County
1001,-5.056025704,22.43924831,-8.68524653,-33.33333333,3.448275862,1.095268775,30.95768356,31.18927002,-16.66667,-24.41246,20.0,17.27051178,-14.70588235,0.139507343,-0.3,0.5,AL,Autauga
1003,-13.20489108,-0.656269542,-12.856725599999999,20.83333333,-0.8403361340000001,-11.10014614,58.3132515,44.82235336,8.0,-0.25212579999999996,17.85714286,5.662750031,9.405940594,0.139507343,-0.3,0.5,AL,Baldwin
1005,6.067799405,-5.959985343,7.005932607999999,0.0,35.71428571,39.60092238,11.96172237,17.29138184,16.66667,27.968329999999998,4.7619047619999995,7.762115521,25.0,0.139507343,-0.3,0.5,AL,Barbour
1007,-7.224695844,21.30714448,-8.545206548,-16.66666667,-21.05263158,-19.526722699999997,29.23077011,28.96822929,-16.66667,-20.38397,-28.57142857,-27.19084435,-16.66666667,0.139507343,-0.3,0.5,AL,Bibb
1009,140.56885669999997,171.08117719999998,159.37797659999998,0.0,-12.90322581,-13.47361997,68.42105103,68.77713776,-40.0,-40.0332,-12.5,-13.07303488,-21.05263158,0.139507343,-0.3,0.5,AL,Blount
1011,1.269364948,-2.0265227880000003,2.191846354,0.0,50.0,53.10758083,-16.2790699,-15.37415314,0.0,4.267708,-25.0,-23.44620959,-50.0,0.139507343,-0.3,0.5,AL,Bullock
1013,-0.266928936,3.322452285,-0.073067226,0.0,-12.5,-10.03830804,13.76146793,15.51926041,-33.33333,-33.77981,0.0,2.813362239,-47.36842105,0.139507343,-0.3,0.5,AL,Butler
1015,-10.08106093,-8.614819542000001,-10.4452089,8.0,-15.90909091,-14.13392221,13.11178207,15.76166439,-13.63636,-16.48874,8.421052632,10.70983344,14.92537313,0.139507343,-0.3,0.5,AL,Calhoun
1017,5.679910836,17.08359259,8.167711045,0.0,4.545454545,5.490401135,13.86861324,14.61219311,0.0,1.200685,18.18181818,19.25001868,-15.78947368,0.139507343,-0.3,0.5,AL,Chambers
1019,30.36417718,66.64288106,49.40897903,25.0,28.57142857,27.66776949,12.9032259,14.20232487,20.0,12.58446,-6.25,-6.908918077999999,10.0,0.139507343,-0.3,0.5,AL,Cherokee
1021,0.907628202,-13.50661861,1.969503226,-14.28571429,-8.108108108,-9.043112447999999,62.56684494,62.11548615,0.0,-2.562821,-13.04347826,-13.92826498,5.882352941000001,0.139507343,-0.3,0.5,AL,Chilton
1023,3.4698515139999997,-37.30326665,3.190597537,-25.0,-25.0,-21.32402612,16.32653046,22.05645561,-40.0,-38.01952,50.0,57.35194776,-28.57142857,0.139507343,-0.3,0.5,AL,Choctaw
1025,12.88893586,-0.692635415,15.56064793,-16.66666667,-27.77777778,-24.61326028,12.0331955,15.56523132,-42.85714,-40.352129999999995,13.04347826,17.99663608,15.38461539,0.139507343,-0.3,0.5,AL,Clarke
1027,-13.46723068,20.62945581,-18.79449625,0.0,-12.5,-9.568698347,47.54098511,46.91765976,0.0,2.768888,0.0,3.350059032,-14.28571429,0.139507343,-0.3,0.5,AL,Clay
1029,437.5979499,285.8406751,284.1107463,-33.33333333,-9.090909091,-10.06751869,8.0,7.334226131,0.0,-0.6472443,14.28571429,13.05797651,-50.0,0.139507343,-0.3,0.5,AL,Cleburne
1031,-7.979015862000001,-19.44954145,-26.1248581,-28.57142857,-10.0,-12.59698678,41.33333206,41.40507507,14.28571,6.527969000000001,-2.857142857,-5.660239699,-9.677419355,0.139507343,-0.3,0.5,AL,Coffee
1033,16.55661203,28.72184121,17.21666602,11.11111111,0.0,-0.214509653,45.29148102,45.90784836,-27.27273,-27.032290000000003,26.82926829,26.55720727,-5.0,0.139507343,-0.3,0.5,AL,Colbert
