FIPS,NUI
01000,669410
01001,6682
01003,25214
01005,3810
01007,2827
01009,8807
01011,1200
01013,2803
01015,16663
01017,5039
01019,3633
01021,7552
01023,1930
01025,3928
01027,2145
01029,2065
01031,7385
01033,6715
01035,2031
01037,1473
01039,5446
01041,2236
01043,11968
01045,6623
01047,5887
01049,14262
01051,9088
01053,5665
01055,14631
01057,2223
01059,5679
01061,4051
01063,1324
01065,2451
01067,2463
01069,13917
01071,8104
01073,84467
01075,1933
01077,11483
01079,5104
01081,21210
01083,11749
01085,1646
01087,2591
01089,43122
01091,3029
01093,4258
01095,17055
01097,65567
01099,3504
01101,32111
01103,18698
01105,1596
01107,2790
01109,5457
01111,3495
01113,8399
01115,11271
01117,20680
01119,1954
01121,10600
01123,5339
01125,24688
01127,9276
01129,2666
01131,2143
01133,3611
02000,141836
02013,1385
02016,1817
02020,48944
02050,4774
02060,212
02068,322
02070,1411
02090,18725
02100,618
02105,599
02110,5863
02122,11143
02130,3119
02150,3781
02164,559
02170,18038
02180,2686
02185,2208
02188,2151
02195,822
02198,1688
02220,1977
02230,212
02240,1746
02261,2160
02270,2279
02275,539
02282,180
02290,1878
04000,1064887
04001,13861
04003,19495
04005,25921
04007,7944
04009,5102
04011,1086
04012,3529
04013,656392
04015,30454
04017,19436
04019,143361
04021,58448
04023,10734
04025,30003
04027,39122
05000,490103
05001,3066
05003,3457
05005,5991
05007,37403
05009,5949
05011,2393
05013,879
05015,5746
05017,1929
05019,3569
05021,2707
05023,4234
05025,1376
05027,3596
05029,3391
05031,16167
05033,10889
05035,8111
05037,3016
05039,1272
05041,2159
05043,2974
05045,17341
05047,2932
05049,2146
05051,17348
05053,2521
05055,6644
05057,4482
05059,5085
05061,2829
05063,6358
05065,2170
05067,2688
05069,10200
05071,4935
05073,1289
05075,2867
05077,1387
05079,1814
05081,1959
05083,3684
05085,10089
05087,3142
05089,2783
05091,6809
05093,7517
05095,1294
05097,1726
05099,1412
05101,1535
05103,3743
05105,1623
05107,3274
05109,2226
05111,4131
05113,4040
05115,10736
05117,1480
05119,60975
05121,2971
05123,3916
05125,14851
05127,2270
05129,1561
05131,25112
05133,4617
05135,2930
05137,2319
05139,6411
05141,2870
05143,41799
05145,12770
05147,1213
05149,5005
06000,6603169
06001,197333
06003,164
06005,3837
06007,36467
06009,5388
06011,4593
06013,126153
06015,3670
06017,20121
06019,187161
06021,5718
06023,23374
06025,33969
06027,2992
06029,162177
06031,25676
06033,10653
06035,3095
06037,2158922
06039,30717
06041,24205
06043,2332
06045,17048
06047,51374
06049,1566
06051,2984
06053,85820
06055,20973
06057,13589
06059,515368
06061,36271
06063,2807
06065,433323
06067,203576
06069,9692
06071,400347
06073,511840
06075,96285
06077,118365
06079,39043
06081,82752
06083,79118
06085,210490
06087,40797
06089,26453
06091,486
06093,7108
06095,50890
06097,73832
06099,92626
06101,17673
06103,11235
06105,2143
06107,97694
06109,6249
06111,133453
06113,29150
06115,12032
08000,753842
08001,88301
08003,2656
08005,92260
08007,1966
08009,621
08011,605
08013,38549
08014,5712
08015,2531
08017,347
08019,1019
08021,1556
08023,813
08025,467
08027,682
08029,5093
08031,106665
08033,414
08035,20706
08037,11102
08039,2789
08041,85534
08043,5396
08045,12431
08047,497
08049,2523
08051,3129
08053,156
08055,963
08057,277
08059,64230
08061,204
08063,1486
08065,1807
08067,8970
08069,39260
08071,2250
08073,694
08075,3017
08077,22099
08079,120
08081,2190
08083,4701
08085,7645
08087,5613
08089,2945
08091,732
08093,2463
08095,800
08097,2648
08099,2374
08101,20342
08103,1048
08105,2180
08107,3305
08109,1659
08111,122
08113,1443
08115,393
08117,5356
08119,2850
08121,840
08123,40364
08125,1927
09000,299599
09001,91817
09003,74417
09005,13259
09007,10583
09009,70740
09011,20112
09013,8615
09015,10056
10000,84181
10001,14593
10003,47654
10005,21934
11000,42737
11001,42737
12000,3804839
12001,42705
12003,3918
12005,29802
12007,3973
12009,86911
12011,392142
12013,2437
12015,23107
12017,20965
12019,28369
12021,67216
12023,11553
12027,8367
12029,2540
12031,145023
12033,49811
12035,16428
12037,1797
12039,9127
12041,3139
12043,2791
12045,2126
12047,2027
12049,7351
12051,11519
12053,28072
12055,18521
12057,256163
12059,3389
12061,24746
12063,6557
12065,2439
12067,1543
12069,47316
12071,123665
12073,44270
12075,8341
12077,1141
12079,3276
12081,60223
12083,57753
12085,22474
12086,743689
12087,16368
12089,11496
12091,29063
12093,9107
12095,252402
12097,64229
12099,260653
12101,76528
12103,162970
12105,114007
12107,13767
12109,24723
12111,59713
12113,23833
12115,58844
12117,73887
12119,8135
12121,7843
12123,3213
12125,1839
12127,84581
12129,4322
12131,10496
12133,4098
13000,1846990
13001,3886
13003,2540
13005,2528
13007,537
13009,6786
13011,3882
13013,14260
13015,20797
13017,3552
13019,4230
13021,25833
13023,1788
13025,4013
13027,3325
13029,5038
13031,15903
13033,4217
13035,3886
13037,995
13039,7412
13043,2464
13045,21503
13047,10038
13049,1882
13051,50445
13053,1254
13055,4574
13057,35444
13059,23909
13061,525
13063,61013
13065,1277
13067,126321
13069,8900
13071,10989
13073,17412
13075,3940
13077,19579
13079,2589
13081,4186
13083,2518
13085,4193
13087,5078
13089,148282
13091,3519
13093,2516
13095,16847
13097,24712
13099,1715
13101,1323
13103,8818
13105,4017
13107,4629
13109,2404
13111,4527
13113,11927
13115,18004
13117,24970
13119,4031
13121,185861
13123,6441
13125,506
13127,15121
13129,12332
13131,5901
13133,2826
13135,180039
13137,8796
13139,39891
13141,1362
13143,4962
13145,4014
13147,4703
13149,2073
13151,33350
13153,22395
13155,    1827
13157,   11215
13159,    2867
13161,    3353
13163,    3128
13165,    1775
13167,    1496
13169,    4484
13171,    3043
13173,    2492
13175,    7749
13177,    3977
13179,   11714
13181,    1520
13183,    3614
13185,   23016
13187,    5898
13189,    3684
13191,    2588
13193,    2691
13195,    5458
13197,    1787
13199,    3840
13201,    1053
13205,    3995
13207,    3905
13209,    1704
13211,    3108
13213,    8582
13215,   31001
13217,   18899
13219,    4364
13221,    3071
13223,   24009
13225,    4967
13227,    5103
13229,    3646
13231,    3110
13233,    8544
13235,    1811
13237,    3952
13239,     456
13241,    3659
13243,    1312
13245,   34304
13247,   17179
13249,     963
13251,    2481
13253,    1584
13255,   11434
13257,    4624
13259,     767
13261,    5911
13263,    1189
13265,     361
13267,    4808
13269,    1569
13271,    2523
13273,    1606
13275,    7960
13277,    9460
13279,    5666
13281,    1481
13283,    1192
13285,   12194
13287,    1869
13289,    1525
13291,    3564
13293,    4725
13295,   11338
13297,   14876
13299,    6470
13301,     996
13303,    3448
13305,    5881
13307,     584
13309,    1046
13311,    5105
13313,   25540
13315,    1395
13317,    1734
13319,    1604
13321,    4310
15000,   94510
15001,   17002
15003,   58353
15005,       .
15007,    5840
15009,   13314
16000,  255479
16001,   48670
16003,     712
16005,   12622
16007,     860
16009,    1589
16011,    9158
16013,    4089
16015,    1112
16017,    6690
16019,   14606
16021,    2070
16023,     398
16025,     258
16027,   37504
