FIPS,clusters
1005,cluster_1
1007,cluster_3
1011,cluster_1
1013,cluster_3
1017,cluster_3
1023,cluster_3
1025,cluster_3
1027,cluster_3
1033,cluster_3
1035,cluster_3
1037,cluster_3
1041,cluster_3
1045,cluster_3
1047,cluster_1
1053,cluster_3
1063,cluster_1
1065,cluster_3
1067,cluster_3
1079,cluster_3
1085,cluster_1
1087,cluster_1
1091,cluster_1
1093,cluster_3
1097,cluster_3
1099,cluster_3
1105,cluster_1
1107,cluster_3
1119,cluster_1
1121,cluster_3
1123,cluster_3
1129,cluster_3
1131,cluster_1
4001,cluster_2
5003,cluster_3
5017,cluster_1
5029,cluster_3
5035,cluster_3
5039,cluster_3
5041,cluster_3
5047,cluster_3
5069,cluster_3
5073,cluster_3
5083,cluster_3
5093,cluster_3
5095,cluster_3
5099,cluster_3
5107,cluster_1
5111,cluster_3
5113,cluster_3
5117,cluster_3
5123,cluster_3
5135,cluster_3
5147,cluster_3
12007,cluster_3
12013,cluster_3
12027,cluster_3
12039,cluster_3
12051,cluster_3
12123,cluster_3
13009,cluster_3
13163,cluster_3
13175,cluster_3
13321,cluster_3
18009,cluster_3
18053,cluster_3
18093,cluster_3
18101,cluster_3
18135,cluster_3
20027,cluster_3
21013,cluster_3
21019,cluster_3
21025,cluster_3
21027,cluster_3
21043,cluster_3
21045,cluster_3
21051,cluster_3
21085,cluster_3
21089,cluster_3
21095,cluster_3
21105,cluster_3
21109,cluster_3
21115,cluster_3
21119,cluster_3
21121,cluster_3
21125,cluster_3
21127,cluster_3
21131,cluster_3
21135,cluster_3
21149,cluster_3
21159,cluster_3
21175,cluster_3
21183,cluster_3
21193,cluster_3
21195,cluster_3
21217,cluster_3
21231,cluster_3
21233,cluster_3
22009,cluster_3
22013,cluster_3
22029,cluster_3
22031,cluster_3
22035,cluster_1
22037,cluster_3
22067,cluster_3
22083,cluster_3
22085,cluster_3
22087,cluster_3
22091,cluster_3
22093,cluster_3
22095,cluster_3
22097,cluster_3
22101,cluster_3
22117,cluster_3
22121,cluster_3
22123,cluster_3
24019,cluster_3
24039,cluster_3
28001,cluster_3
28003,cluster_3
28005,cluster_3
28007,cluster_3
28009,cluster_1
28011,cluster_1
28013,cluster_3
28021,cluster_1
28025,cluster_3
28027,cluster_1
28029,cluster_3
28037,cluster_3
28043,cluster_3
28051,cluster_1
28053,cluster_1
28061,cluster_3
28063,cluster_1
28065,cluster_1
28067,cluster_3
28069,cluster_1
28077,cluster_3
28083,cluster_1
28093,cluster_3
28095,cluster_3
28097,cluster_3
28103,cluster_1
28107,cluster_3
28113,cluster_3
28119,cluster_1
28125,cluster_1
28127,cluster_3
28129,cluster_3
28133,cluster_1
28135,cluster_1
28137,cluster_3
28141,cluster_3
28143,cluster_1
28147,cluster_3
28151,cluster_1
28153,cluster_3
28157,cluster_1
28159,cluster_3
28161,cluster_3
28163,cluster_1
29011,cluster_3
31173,cluster_2
37015,cluster_3
37017,cluster_3
37065,cluster_3
37083,cluster_3
37091,cluster_3
37101,cluster_3
37107,cluster_3
37117,cluster_3
37131,cluster_3
37139,cluster_3
37155,cluster_3
37157,cluster_3
37163,cluster_3
37165,cluster_3
37181,cluster_3
37185,cluster_3
39073,cluster_3
39079,cluster_3
39081,cluster_3
39087,cluster_3
39111,cluster_3
39115,cluster_3
39145,cluster_3
39161,cluster_3
40001,cluster_3
40011,cluster_3
40021,cluster_3
40023,cluster_3
40033,cluster_3
40037,cluster_3
40043,cluster_3
40057,cluster_3
40061,cluster_3
40067,cluster_3
40069,cluster_3
40079,cluster_3
40081,cluster_3
40089,cluster_3
40091,cluster_3
40105,cluster_3
40115,cluster_3
40133,cluster_3
42033,cluster_3
42051,cluster_3
45001,cluster_3
45005,cluster_3
45009,cluster_3
45011,cluster_3
45017,cluster_3
45021,cluster_3
45023,cluster_3
45027,cluster_3
45029,cluster_3
45031,cluster_3
45033,cluster_3
45039,cluster_3
45049,cluster_3
45053,cluster_3
45059,cluster_3
45061,cluster_3
45065,cluster_3
45067,cluster_3
45069,cluster_3
45071,cluster_3
45075,cluster_3
45087,cluster_3
45089,cluster_3
46007,cluster_2
46017,cluster_2
46041,cluster_2
46121,cluster_2
46137,cluster_2
47039,cluster_3
47045,cluster_3
47049,cluster_3
47069,cluster_3
47075,cluster_3
47085,cluster_3
47097,cluster_3
47109,cluster_3
47123,cluster_3
51036,cluster_3
51131,cluster_3
51181,cluster_3
51730,cluster_3
51740,cluster_3
54001,cluster_3
54005,cluster_3
54009,cluster_3
54019,cluster_3
54023,cluster_3
54031,cluster_3
54041,cluster_3
54043,cluster_3
54045,cluster_3
54047,cluster_3
54051,cluster_3
54055,cluster_3
54067,cluster_3
54071,cluster_3
54073,cluster_3
54081,cluster_3
54085,cluster_3
54087,cluster_3
54089,cluster_3
54093,cluster_3
54099,cluster_3
54105,cluster_3
54107,cluster_3
54109,cluster_3
55078,cluster_2
