FIPS,State,County,var1,var14,var15,var16,var17,var18,var19,var20,var21,var22,var23,var26,var27,var28,var29,var30,var31,var32,var33,var34,var35,var36,var37,var38,var39,var40,var41,var43,var44,var54,var57,var58,var59,var60,var61,var62,var63,var64,var65,var66,var67,var68,var69,prevalence of diabetes,prevalence of obesity,prevalence of physical inactivity,frac_uninsured,RUCC_2013
1001,AL,Autauga,32.915956025,0.0915213545,0.01826225,0.538631458,0.0365245,0.779112646,0.10461189999999998,0.6020241390000001,0.5757862165000001,662.1570437,498.33124715,78.092,11.62479238,,,4.871002913,0.7959991715000001,2.854884528,0.9858436055,17.75,7.05,8.9,4.0,4.0,4.0,4.0,9.567318118,,0.028724769,,,0.0820751025,77.24615638,17.58259882,2.400542413,0.855765883,0.397647102,0.040314453,11.99538216,26.77795899,56580.0,12.7,18.8,13.0,34.1,28.399999999999995,0.11614101919130684,2
1003,AL,Baldwin,18.042980965,0.13934718,0.031713549999999986,0.6264863665,0.1234904155,0.8875489309999999,0.1416957,0.6419581285,1.1151624409999998,662.1570437,498.33124715,78.092,11.62479238,,,4.871002913,0.7959991715000001,2.854884528,0.9858436055,17.75,7.05,8.9,4.0,4.0,4.0,4.0,8.719132582,,0.0207080755,,,0.11263087800000003,83.50478699,9.308424547000001,4.384824294,0.735193263,0.628754835,0.043343483,16.77118481,22.98740844,52387.0,12.9,19.6,10.4,27.4,24.23333333333333,0.13471520258267272,3
1005,AL,Barbour,21.47326589,0.1833747675,0.01859635,0.606431087,0.07334990699999999,1.3913060415,0.2292214,0.7887703705,0.4958884845,662.1570437,498.33124715,78.092,11.62479238,,,4.871002913,0.7959991715000001,2.854884528,0.9858436055,17.75,7.05,8.9,4.0,4.0,4.0,4.0,2.5829765585000004,,0.110654907,,,0.0180786,46.75310485,46.69118986,5.051535128,0.389700259,0.218523509,0.08740940400000001,14.23680664,21.90698183,31433.0,32.0,45.2,18.4,44.4,32.33333333333333,0.1315750374787316,6
1007,AL,Bibb,4.395038552000002,0.24185172600000002,0.04401135,0.7473502175,0.0222163,0.823280461,0.2495938,0.2636467655,0.24185172600000002,662.1570437,498.33124715,78.092,11.62479238,,,4.871002913,0.7959991715000001,2.854884528,0.9858436055,17.75,7.05,8.9,4.0,4.0,4.0,4.0,6.282755334499999,,0.045243967999999996,,,0.04401135,75.02072878,21.9245036,1.7717652190000002,0.096006982,0.279293039,0.030547676,12.68164957,22.69692341,40767.0,22.2,29.3,14.8,40.3,33.43333333333334,0.11864768818927934,1
1009,AL,Blount,4.599110116,0.104294538,0.017382400000000003,0.5042044765,0.017439549999999998,0.8831262059999999,0.13839395,0.3911901745,0.295615401,662.1570437,498.33124715,78.092,11.62479238,,,4.871002913,0.7959991715000001,2.854884528,0.9858436055,17.75,7.05,8.9,4.0,4.0,4.0,4.0,6.5158248295000005,,0.017234625,,,0.052147300000000014,88.88733819,1.263040368,8.070199922999999,0.200621053,0.497191305,0.031401556000000004,14.72209623,24.60835281,50487.0,14.7,22.2,14.1,34.6,28.766666666666666,0.15098864520549796,1
1011,AL,Bullock,37.71249731,0.183918923,0.0,0.23037005600000002,0.045508328,1.263272775,0.1870412,0.321386712,0.1374677895,662.1570437,498.33124715,78.092,11.62479238,,,4.871002913,0.7959991715000001,2.854884528,0.9858436055,17.75,7.05,8.9,4.0,4.0,4.0,4.0,4.5443725950000005,,0.0937698465,,,0.0,21.916804100000004,69.97434488,7.119296317000001,0.18325087,0.18325087,0.036650174,13.45977643,22.26498076,28251.0,39.6,51.2,19.6,43.0,32.53333333333334,0.12264017809153667,6
1013,AL,Butler,6.235137398499999,0.145790024,0.048596700000000013,1.092414005,0.0239613,1.4460284255000002,0.24721655,0.8261434704999999,0.7016182545,662.1570437,498.33124715,78.092,11.62479238,,,4.871002913,0.7959991715000001,2.854884528,0.9858436055,17.75,7.05,8.9,4.0,4.0,4.0,4.0,4.930802788,,0.100095163,,,0.0246354,54.06024729,43.18995560000001,0.911825082,0.8306678759999999,0.281663245,0.033417672999999995,16.6563231,24.13710794,33868.0,25.8,36.0,17.7,36.3,35.36666666666667,0.13227471059438134,6
1015,AL,Calhoun,24.747468775,0.2220709725,0.0256133,0.690934449,0.01276205,1.2684631005,0.17797464999999998,0.8455950834999999,0.6151647004999999,662.1570437,498.33124715,78.092,11.62479238,,,4.871002913,0.7959991715000001,2.854884528,0.9858436055,17.75,7.05,8.9,4.0,4.0,4.0,4.0,6.6039253539999985,,0.0174908675,,,0.05976435,73.61350066,20.3901427,3.283237189,0.699996627,0.404817326,0.07927672599999999,14.32884661,22.87723915,42091.0,20.0,30.7,14.9,32.2,32.7,0.13348376040761864,3
1017,AL,Chambers,20.283090665,0.204503117,0.02921475,0.657397165,0.043887800000000005,1.0789202095,0.17509415,0.7014164159999999,0.5110606375,662.1570437,498.33124715,78.092,11.62479238,,,4.871002913,0.7959991715000001,2.854884528,0.9858436055,17.75,7.05,8.9,4.0,4.0,4.0,4.0,5.886627906999999,,0.0293428685,,,0.0290833,58.14116616,38.59710653,1.566564372,0.485167324,0.166593599,0.020458863,16.6768961,22.51351746,35560.0,22.4,34.4,16.4,39.7,33.9,0.1392165573070507,6
1019,AL,Cherokee,0.351942617,0.17337467550000002,0.0385428,0.6164130835,0.0385428,1.2759448285,0.21769595,0.5974814945,0.404631526,662.1570437,498.33124715,78.092,11.62479238,,,4.871002913,0.7959991715000001,2.854884528,0.9858436055,17.75,7.05,8.9,4.0,4.0,4.0,4.0,3.006181622,,0.0398879165,,,0.0385428,92.07356959,4.640424795,1.231290161,0.188541306,0.469429374,0.003847782,17.89603294,21.41675324,39144.0,19.4,30.2,13.3,33.6,31.43333333333333,0.1349461406331541,6
1021,AL,Chilton,3.352859567,0.148778283,0.02288,0.812414318,0.08013838300000001,1.3982403794999998,0.1618489,0.4920947825,0.4003409205,662.1570437,498.33124715,78.092,11.62479238,,,4.871002913,0.7959991715000001,2.854884528,0.9858436055,17.75,7.05,8.9,4.0,4.0,4.0,4.0,9.836823846,,0.0,,,0.0572583965,81.10120752,9.557088193,7.836308227999999,0.286414774,0.30703663800000003,0.0252045,13.56689503,25.11284742,42767.0,20.2,28.1,13.3,35.9,31.399999999999995,0.1662614330657295,1
1023,AL,Choctaw,19.17580297,0.2556897165,0.0,1.022758866,0.0357756155,1.3301995569999998,0.28754615,0.3682769715,0.4380747325,662.1570437,498.33124715,78.092,11.62479238,,,4.871002913,0.7959991715000001,2.854884528,0.9858436055,17.75,7.05,8.9,4.0,4.0,4.0,4.0,4.33773216,,0.07422207350000001,,,0.0,55.55956418,43.22101162,0.526733531,0.086586334,0.129879501,0.0,18.17591457,22.66397287,35089.0,24.4,33.5,18.1,40.8,32.86666666666667,0.13308254553083373,9
1025,AL,Clarke,20.85237354,0.2154367075,0.07849360150000001,0.6062219285,0.07849360150000001,1.7206265255000002,0.42550070000000006,0.9628087085,0.5502966035000001,662.1570437,498.33124715,78.092,11.62479238,,,4.871002913,0.7959991715000001,2.854884528,0.9858436055,17.75,7.05,8.9,4.0,4.0,4.0,4.0,6.381554789499999,,0.060196802,,,0.0985376985,53.97359966,43.66507955,1.049045794,0.286455309,0.371617698,0.015484071,16.15762784,24.73193202,37317.0,22.2,30.9,16.3,38.2,29.566666666666666,0.14140236327329495,7
1027,AL,Clay,4.972411060500001,0.21778172850000002,0.0,0.5438563519999999,0.0725939095,0.9342499245,0.22028925,0.2903756375,0.4712624425,662.1570437,498.33124715,78.092,11.62479238,,,4.871002913,0.7959991715000001,2.854884528,0.9858436055,17.75,7.05,8.9,4.0,4.0,4.0,4.0,3.6863858875,,0.1107748875,,,0.0,80.2899799,14.69997129,2.863910422,0.16508756800000002,0.39477462,0.0,17.57823715,22.566752800000003,38908.0,18.4,27.3,14.6,37.3,35.16666666666667,0.154763433047415,9
1029,AL,Cleburne,3.1271661725,0.16686266900000002,0.0,0.7002471155,0.0,1.164903733,0.33820704999999995,0.49986789,0.20037922600000002,662.1570437,498.33124715,78.092,11.62479238,,,4.871002913,0.7959991715000001,2.854884528,0.9858436055,17.75,7.05,8.9,4.0,4.0,4.0,4.0,4.552785924,,0.06738071649999999,,,0.0331564985,93.21399947,3.2994923860000003,2.050494256,0.153620091,0.333956719,0.006679134000000001,15.76943628,23.7176062,42136.0,18.9,27.7,12.6,30.0,32.46666666666667,0.13454302631291204,8
1031,AL,Coffee,21.90418674,0.11990011099999999,0.0199347,0.5685771035,0.00982145,0.8831548295,0.1513089,0.6878935690000001,0.588511818,662.1570437,498.33124715,78.092,11.62479238,,,4.871002913,0.7959991715000001,2.854884528,0.9858436055,17.75,7.05,8.9,4.0,4.0,4.0,4.0,3.8086144460000004,,0.0200413305,,,0.0898521275,72.34323697,16.53119244,6.366621286,1.259309682,1.205253464,0.10210619,14.43501241,24.19316089,46858.0,16.2,23.7,15.9,33.7,29.266666666666666,0.14060322926828595,4
