,FIPS,RUCC_2013
0,1001,2
1,1003,3
2,1005,6
3,1007,1
4,1009,1
5,1011,6
6,1013,6
7,1015,3
8,1017,6
9,1019,6
10,1021,1
11,1023,9
12,1025,7
13,1027,9
14,1029,8
15,1031,4
16,1033,3
17,1035,7
18,1037,8
19,1039,6
20,1041,8
21,1043,4
22,1045,4
23,1047,4
24,1049,6
25,1051,2
26,1053,6
27,1055,3
28,1057,6
29,1059,6
30,1061,3
31,1063,8
32,1065,3
33,1067,3
34,1069,3
35,1071,6
36,1073,1
37,1075,8
38,1077,3
39,1079,3
40,1081,3
41,1083,2
42,1085,2
43,1087,6
44,1089,2
45,1091,7
46,1093,7
47,1095,4
48,1097,2
49,1099,7
50,1101,2
51,1103,3
52,1105,8
53,1107,3
54,1109,6
55,1111,6
56,1113,2
57,1115,1
58,1117,1
59,1119,8
60,1121,4
61,1123,6
62,1125,3
63,1127,1
64,1129,8
65,1131,9
66,1133,6
67,2013,9
68,2016,9
69,2020,2
70,2050,7
71,2060,9
72,2068,8
73,2070,9
74,2090,3
75,2100,9
76,2105,9
77,2110,5
78,2122,7
79,2130,7
80,2150,7
81,2164,9
82,2170,2
83,2180,7
84,2185,7
85,2188,7
86,2195,9
87,2198,9
88,2220,7
89,2230,9
90,2240,9
91,2261,9
92,2270,9
93,2275,9
94,2282,9
95,2290,9
96,4001,6
97,4003,3
98,4005,3
99,4007,4
100,4009,7
101,4011,7
102,4012,6
103,4013,1
104,4015,3
105,4017,4
106,4019,2
107,4021,1
108,4023,4
109,4025,3
110,4027,3
111,5001,6
112,5003,7
113,5005,7
114,5007,2
115,5009,7
116,5011,7
117,5013,9
118,5015,6
119,5017,7
120,5019,7
121,5021,7
122,5023,6
123,5025,3
124,5027,7
125,5029,6
126,5031,3
127,5033,2
128,5035,1
129,5037,6
130,5039,6
131,5041,6
132,5043,6
133,5045,2
134,5047,6
135,5049,9
136,5051,3
137,5053,2
138,5055,4
139,5057,6
140,5059,6
141,5061,6
142,5063,7
143,5065,9
144,5067,6
145,5069,3
146,5071,7
147,5073,8
148,5075,6
149,5077,7
150,5079,3
151,5081,3
152,5083,6
153,5085,2
154,5087,2
155,5089,9
156,5091,3
157,5093,4
158,5095,7
159,5097,8
160,5099,7
161,5101,9
162,5103,7
163,5105,2
164,5107,6
165,5109,9
166,5111,3
167,5113,7
168,5115,5
169,5117,8
170,5119,2
171,5121,7
172,5123,6
173,5125,2
174,5127,6
175,5129,9
176,5131,2
177,5133,6
178,5135,7
179,5137,9
180,5139,7
181,5141,8
182,5143,2
183,5145,4
184,5147,9
185,5149,6
186,6001,1
187,6003,8
188,6005,6
189,6007,3
190,6009,6
191,6011,6
192,6013,1
193,6015,7
194,6017,1
195,6019,2
196,6021,6
197,6023,5
198,6025,3
199,6027,7
200,6029,2
201,6031,3
202,6033,4
203,6035,7
204,6037,1
