Index,State,State_id,county_id,county_name,type,FIPS,State_name
0,AL,01,001,Autauga County,H1,01001,Alabama
1,AL,01,003,Baldwin County,H1,01003,Alabama
2,AL,01,005,Barbour County,H1,01005,Alabama
3,AL,01,007,Bibb County,H1,01007,Alabama
4,AL,01,009,Blount County,H1,01009,Alabama
5,AL,01,011,Bullock County,H1,01011,Alabama
6,AL,01,013,Butler County,H1,01013,Alabama
7,AL,01,015,Calhoun County,H1,01015,Alabama
8,AL,01,017,Chambers County,H1,01017,Alabama
9,AL,01,019,Cherokee County,H1,01019,Alabama
10,AL,01,021,Chilton County,H1,01021,Alabama
11,AL,01,023,Choctaw County,H1,01023,Alabama
12,AL,01,025,Clarke County,H1,01025,Alabama
13,AL,01,027,Clay County,H1,01027,Alabama
14,AL,01,029,Cleburne County,H1,01029,Alabama
15,AL,01,031,Coffee County,H1,01031,Alabama
16,AL,01,033,Colbert County,H1,01033,Alabama
17,AL,01,035,Conecuh County,H1,01035,Alabama
18,AL,01,037,Coosa County,H1,01037,Alabama
19,AL,01,039,Covington County,H1,01039,Alabama
20,AL,01,041,Crenshaw County,H1,01041,Alabama
21,AL,01,043,Cullman County,H1,01043,Alabama
22,AL,01,045,Dale County,H1,01045,Alabama
23,AL,01,047,Dallas County,H1,01047,Alabama
24,AL,01,049,DeKalb County,H1,01049,Alabama
25,AL,01,051,Elmore County,H1,01051,Alabama
26,AL,01,053,Escambia County,H1,01053,Alabama
27,AL,01,055,Etowah County,H1,01055,Alabama
28,AL,01,057,Fayette County,H1,01057,Alabama
29,AL,01,059,Franklin County,H1,01059,Alabama
30,AL,01,061,Geneva County,H1,01061,Alabama
31,AL,01,063,Greene County,H1,01063,Alabama
32,AL,01,065,Hale County,H1,01065,Alabama
33,AL,01,067,Henry County,H1,01067,Alabama
34,AL,01,069,Houston County,H1,01069,Alabama
35,AL,01,071,Jackson County,H1,01071,Alabama
36,AL,01,073,Jefferson County,H1,01073,Alabama
37,AL,01,075,Lamar County,H1,01075,Alabama
38,AL,01,077,Lauderdale County,H1,01077,Alabama
39,AL,01,079,Lawrence County,H1,01079,Alabama
40,AL,01,081,Lee County,H1,01081,Alabama
41,AL,01,083,Limestone County,H1,01083,Alabama
42,AL,01,085,Lowndes County,H1,01085,Alabama
43,AL,01,087,Macon County,H1,01087,Alabama
44,AL,01,089,Madison County,H1,01089,Alabama
45,AL,01,091,Marengo County,H1,01091,Alabama
46,AL,01,093,Marion County,H1,01093,Alabama
47,AL,01,095,Marshall County,H1,01095,Alabama
48,AL,01,097,Mobile County,H1,01097,Alabama
49,AL,01,099,Monroe County,H1,01099,Alabama
50,AL,01,101,Montgomery County,H1,01101,Alabama
51,AL,01,103,Morgan County,H1,01103,Alabama
52,AL,01,105,Perry County,H1,01105,Alabama
53,AL,01,107,Pickens County,H1,01107,Alabama
54,AL,01,109,Pike County,H1,01109,Alabama
55,AL,01,111,Randolph County,H1,01111,Alabama
56,AL,01,113,Russell County,H1,01113,Alabama
57,AL,01,115,St. Clair County,H1,01115,Alabama
58,AL,01,117,Shelby County,H1,01117,Alabama
59,AL,01,119,Sumter County,H1,01119,Alabama
60,AL,01,121,Talladega County,H1,01121,Alabama
61,AL,01,123,Tallapoosa County,H1,01123,Alabama
62,AL,01,125,Tuscaloosa County,H1,01125,Alabama
63,AL,01,127,Walker County,H1,01127,Alabama
64,AL,01,129,Washington County,H1,01129,Alabama
65,AL,01,131,Wilcox County,H1,01131,Alabama
66,AL,01,133,Winston County,H1,01133,Alabama
67,AK,02,013,Aleutians East Borough,H1,02013,Alaska
68,AK,02,016,Aleutians West Census Area,H5,02016,Alaska
69,AK,02,020,Anchorage Municipality,H6,02020,Alaska
70,AK,02,050,Bethel Census Area,H5,02050,Alaska
71,AK,02,060,Bristol Bay Borough,H1,02060,Alaska
72,AK,02,068,Denali Borough,H1,02068,Alaska
73,AK,02,070,Dillingham Census Area,H5,02070,Alaska
74,AK,02,090,Fairbanks North Star Borough,H1,02090,Alaska
75,AK,02,100,Haines Borough,H1,02100,Alaska
76,AK,02,105,Hoonah-Angoon Census Area,H5,02105,Alaska
77,AK,02,110,Juneau City and Borough,H6,02110,Alaska
78,AK,02,122,Kenai Peninsula Borough,H1,02122,Alaska
79,AK,02,130,Ketchikan Gateway Borough,H1,02130,Alaska
80,AK,02,150,Kodiak Island Borough,H1,02150,Alaska
81,AK,02,164,Lake and Peninsula Borough,H1,02164,Alaska
82,AK,02,170,Matanuska-Susitna Borough,H1,02170,Alaska
83,AK,02,180,Nome Census Area,H5,02180,Alaska
84,AK,02,185,North Slope Borough,H1,02185,Alaska
85,AK,02,188,Northwest Arctic Borough,H1,02188,Alaska
86,AK,02,195,Petersburg Census Area,H5,02195,Alaska
87,AK,02,198,Prince of Wales-Hyder Census Area,H5,02198,Alaska
88,AK,02,220,Sitka City and Borough,H6,02220,Alaska
89,AK,02,230,Skagway Municipality,H1,02230,Alaska
90,AK,02,240,Southeast Fairbanks Census Area,H5,02240,Alaska
91,AK,02,261,Valdez-Cordova Census Area,H5,02261,Alaska
92,AK,02,270,Wade Hampton Census Area,H5,02270,Alaska
93,AK,02,275,Wrangell City and Borough,H1,02275,Alaska
94,AK,02,282,Yakutat City and Borough,H1,02282,Alaska
95,AK,02,290,Yukon-Koyukuk Census Area,H5,02290,Alaska
96,AZ,04,001,Apache County,H1,04001,Arizona
97,AZ,04,003,Cochise County,H1,04003,Arizona
98,AZ,04,005,Coconino County,H1,04005,Arizona
99,AZ,04,007,Gila County,H1,04007,Arizona
100,AZ,04,009,Graham County,H1,04009,Arizona
101,AZ,04,011,Greenlee County,H1,04011,Arizona
102,AZ,04,012,La Paz County,H1,04012,Arizona
103,AZ,04,013,Maricopa County,H1,04013,Arizona
104,AZ,04,015,Mohave County,H1,04015,Arizona
105,AZ,04,017,Navajo County,H1,04017,Arizona
106,AZ,04,019,Pima County,H1,04019,Arizona
107,AZ,04,021,Pinal County,H1,04021,Arizona
108,AZ,04,023,Santa Cruz County,H1,04023,Arizona
109,AZ,04,025,Yavapai County,H1,04025,Arizona
110,AZ,04,027,Yuma County,H1,04027,Arizona
111,AR,05,001,Arkansas County,H1,05001,Arkansas
112,AR,05,003,Ashley County,H1,05003,Arkansas
113,AR,05,005,Baxter County,H1,05005,Arkansas
114,AR,05,007,Benton County,H1,05007,Arkansas
115,AR,05,009,Boone County,H1,05009,Arkansas
116,AR,05,011,Bradley County,H1,05011,Arkansas
117,AR,05,013,Calhoun County,H1,05013,Arkansas
118,AR,05,015,Carroll County,H1,05015,Arkansas
119,AR,05,017,Chicot County,H1,05017,Arkansas
120,AR,05,019,Clark County,H1,05019,Arkansas
121,AR,05,021,Clay County,H1,05021,Arkansas
122,AR,05,023,Cleburne County,H1,05023,Arkansas
123,AR,05,025,Cleveland County,H1,05025,Arkansas
124,AR,05,027,Columbia County,H1,05027,Arkansas
125,AR,05,029,Conway County,H1,05029,Arkansas
126,AR,05,031,Craighead County,H1,05031,Arkansas
127,AR,05,033,Crawford County,H1,05033,Arkansas
128,AR,05,035,Crittenden County,H1,05035,Arkansas
129,AR,05,037,Cross County,H1,05037,Arkansas
130,AR,05,039,Dallas County,H1,05039,Arkansas
